,AMD16_Normal,AMD16_Reordered,AMD64_Normal,AMD64_Reordered,AMD48_Normal,AMD48_Reordered,AMD128_Normal,AMD128_Reordered,SKY32_Normal,SKY32_Reordered,ICE72_Normal,ICE72_Reordered,ARM_Normal,ARM_Reordered,HUA_Normal,HUA_Reordered
./DNVS/shipsec1/shipsec1.mtx,0.00039653,0.00039475,0.00013385,0.00013274,0.00018249,0.00017461,0.00013424,0.00013832,0.00038201,0.00037292,0.0001229,0.00011607,0.00036674,0.00036097,0.00030393,0.00029761
./DNVS/shipsec5/shipsec5.mtx,0.00054185,0.00054483,0.00018165,0.00018108,0.00021796,0.00022204,0.00017877,0.00018085,0.00050706,0.00049385,0.00019542,0.00019646,0.00047901,0.00048597,0.0003971,0.00037664
./DNVS/shipsec8/shipsec8.mtx,0.00034716,0.00034313,0.00012581,0.00011954,0.00016749,0.00016961,0.00011379,0.0001173,0.00033928,0.00031618,0.00011663,0.00010386,0.00033163,0.0003102,0.00025814,0.00025566
./GHS_psdef/srb1/srb1.mtx,7.085E-05,7.672E-05,3.626E-05,3.615E-05,2.95E-05,2.926E-05,2.525E-05,2.447E-05,5.97E-05,5.717E-05,2.283E-05,2.171E-05,7.815E-05,7.481E-05,0.00017623,0.00017816
./DNVS/thread/thread.mtx,0.00026995,0.00025755,9.24E-05,9.168E-05,0.0001302,0.00012698,5.937E-05,5.633E-05,0.00022441,0.00022239,8.599E-05,8.087E-05,0.00021215,0.00020469,0.00023252,0.00023012
./DNVS/trdheim/trdheim.mtx,5.429E-05,5.181E-05,2.574E-05,2.508E-05,2.129E-05,3.355E-05,2.03E-05,3.412E-05,4.287E-05,3.95E-05,1.644E-05,1.657E-05,5.144E-05,6.365E-05,0.0001755,0.00017547
./DNVS/tsyl201/tsyl201.mtx,0.00010505,7.64E-05,5.468E-05,3.092E-05,4.255E-05,2.85E-05,2.963E-05,2.416E-05,0.00010868,5.96E-05,4.433E-05,2.336E-05,0.00011395,7.192E-05,0.00017713,0.00017837
./GHS_psdef/vanbody/vanbody.mtx,0.00013555,0.00013595,5.11E-05,5.25E-05,6.172E-05,6.269E-05,3.312E-05,6.057E-05,9.815E-05,9.805E-05,4.093E-05,4.025E-05,0.0001066,0.00010962,0.00018806,0.00019192
./DNVS/x104/x104.mtx,0.00056707,0.00057795,0.00019576,0.00018908,0.00022423,0.0002277,0.0001761,0.00017639,0.00057659,0.00054314,0.0001954,0.00018878,0.00051579,0.00049281,0.00037624,0.00039561
./GHS_indef/boyd1/boyd1.mtx,0.00055597,0.00044332,0.00078177,0.00063691,0.00051079,0.0004131,0.000581,0.00047134,0.00083587,0.00067812,0.00073312,0.00060301,0.00157296,0.00128891,0.00184258,0.00200288
